,code from sheet,file it represents
0,0,Sample (Download as RTF) /.DS_Store
1,1,Sample (Download as RTF) /Midwest/.DS_Store
2,2,Sample (Download as RTF) /Midwest/St. Louis Post-Dispatch/immigrant_ AND _Mexico_ AND _border_ St. Louis Post-Dispatch.xlsx
3,3,Sample (Download as RTF) /Midwest/St. Louis Post-Dispatch/ _illegal immigrant_ st louis.rtf
4,4,Sample (Download as RTF) /Midwest/The Capital Times _ Wisconsin State Journal/border_ AND _Mexico_ AND _immigrant_ - Capital Times _ Wisconsin State Journal.xlsx
5,5,Sample (Download as RTF) /Midwest/The Capital Times _ Wisconsin State Journal/_illegal immigrant_ - Capital Times _ Wisconsin State Journal.rtf
6,6,Sample (Download as RTF) /NYT/NYT 4.rtf
7,7,Sample (Download as RTF) /NYT/NYT 3.rtf
8,8,Sample (Download as RTF) /NYT/NYT 2.rtf
9,9,Sample (Download as RTF) /NYT/NYT1.rtf
10,10,Sample (Download as RTF) /NYT/NYT5.rtf
11,11,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1406.rtf
12,12,Sample (Download as RTF) /South/Washington Post/first 100.rtf
13,13,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1410.rtf
14,14,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1406.rtf.docx
15,15,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1502.rtf
16,16,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1449.rtf
17,17,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1446.rtf
18,18,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1426.rtf
19,19,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1430.rtf
20,20,Sample (Download as RTF) /South/Washington Post/Factiva-20220403-1435.rtf
21,21,Sample (Download as RTF) /West/.DS_Store
22,22,Sample (Download as RTF) /West/Arizona Daily Star/Arizona Daily Star (illegal immigrant) 2.rtf
23,23,Sample (Download as RTF) /West/Arizona Daily Star/Arizona Daily Star(illegal immigrant).rtf
24,24,Sample (Download as RTF) /AP News /15.rtf
25,25,Sample (Download as RTF) /AP News /14.rtf
26,26,Sample (Download as RTF) /AP News /16.rtf
27,27,Sample (Download as RTF) /AP News /17.rtf
28,28,Sample (Download as RTF) /AP News /13.rtf
29,29,Sample (Download as RTF) /AP News /10.rtf
30,30,Sample (Download as RTF) /AP News /11.rtf
31,31,Sample (Download as RTF) /AP News /Factiva-AP 6.rtf
32,32,Sample (Download as RTF) /AP News /Factiva-AP 7.rtf
33,33,Sample (Download as RTF) /AP News /Factiva-AP news 1.rtf
34,34,Sample (Download as RTF) /AP News /Factiva-AP 5.rtf
35,35,Sample (Download as RTF) /AP News /Factiva-AP news 2.rtf
36,36,Sample (Download as RTF) /AP News /Factiva-AP 10.rtf
37,37,Sample (Download as RTF) /AP News /Factiva AP 8.rtf
38,38,Sample (Download as RTF) /AP News /Factiva-AP 3.rtf
39,39,Sample (Download as RTF) /AP News /Factiva AP 4.rtf
40,40,Sample (Download as RTF) /AP News /Factiva-AP 9.rtf
41,41,Sample (Download as RTF) /AP News /20.rtf
42,42,Sample (Download as RTF) /AP News /19.rtf
43,43,Sample (Download as RTF) /AP News /18.rtf
44,44,Sample (Download as RTF) /Northeast/New York Daily News/NY daily news.rtf
45,45,Sample (Download as RTF) /Northeast/The Boston Globe/Boston Globe.rtf
46,46,Sample (Download as RTF) /Northeast/The Boston Globe/boston globe 2.rtf
